id,education,religion,party,indepparty,demstrength,repstrength,demlike_1,replike_1,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,choice_set,outlet_headline,endorser_partisanship,endorser_gender,endorser_religiosity,chosen_article,age,gender,ethnicity,employment_status
1,3,11,3,3,,,48,45,1,2,2,1,1,1,1,2,1,2,2,1,2,1,1R,Independent,Male,No,1,34,Male,Asian,Full-Time
1,3,11,3,3,,,48,45,1,2,2,1,1,1,1,2,1,2,2,1,2,1,3R,Republican,Female,Yes,0,34,Male,Asian,Full-Time
1,3,11,3,3,,,48,45,1,2,2,1,1,1,1,2,1,2,2,1,2,2,2D,Independent,Female,Yes,0,34,Male,Asian,Full-Time
1,3,11,3,3,,,48,45,1,2,2,1,1,1,1,2,1,2,2,1,2,2,3R,Republican,Male,No,1,34,Male,Asian,Full-Time
1,3,11,3,3,,,48,45,1,2,2,1,1,1,1,2,1,2,2,1,2,3,1R,Republican,Female,No,0,34,Male,Asian,Full-Time
1,3,11,3,3,,,48,45,1,2,2,1,1,1,1,2,1,2,2,1,2,3,3D,Democrat,Male,Yes,1,34,Male,Asian,Full-Time
1,3,11,3,3,,,48,45,1,2,2,1,1,1,1,2,1,2,2,1,2,4,3R,Independent,Male,Yes,1,34,Male,Asian,Full-Time
1,3,11,3,3,,,48,45,1,2,2,1,1,1,1,2,1,2,2,1,2,4,2R,Democrat,Female,No,0,34,Male,Asian,Full-Time
1,3,11,3,3,,,48,45,1,2,2,1,1,1,1,2,1,2,2,1,2,5,3R,Independent,Female,No,1,34,Male,Asian,Full-Time
1,3,11,3,3,,,48,45,1,2,2,1,1,1,1,2,1,2,2,1,2,5,N,Republican,Male,Yes,0,34,Male,Asian,Full-Time
1,3,11,3,3,,,48,45,1,2,2,1,1,1,1,2,1,2,2,1,2,6,2D,Republican,Male,Yes,1,34,Male,Asian,Full-Time
1,3,11,3,3,,,48,45,1,2,2,1,1,1,1,2,1,2,2,1,2,6,3D,Democrat,Female,No,0,34,Male,Asian,Full-Time
1,3,11,3,3,,,48,45,1,2,2,1,1,1,1,2,1,2,2,1,2,7,1D,Democrat,Male,No,1,34,Male,Asian,Full-Time
1,3,11,3,3,,,48,45,1,2,2,1,1,1,1,2,1,2,2,1,2,7,2R,Republican,Female,Yes,0,34,Male,Asian,Full-Time
1,3,11,3,3,,,48,45,1,2,2,1,1,1,1,2,1,2,2,1,2,8,2D,Democrat,Female,No,0,34,Male,Asian,Full-Time
1,3,11,3,3,,,48,45,1,2,2,1,1,1,1,2,1,2,2,1,2,8,1D,Independent,Male,Yes,1,34,Male,Asian,Full-Time
1,3,11,3,3,,,48,45,1,2,2,1,1,1,1,2,1,2,2,1,2,9,2D,Democrat,Female,Yes,1,34,Male,Asian,Full-Time
1,3,11,3,3,,,48,45,1,2,2,1,1,1,1,2,1,2,2,1,2,9,2R,Independent,Male,No,0,34,Male,Asian,Full-Time
1,3,11,3,3,,,48,45,1,2,2,1,1,1,1,2,1,2,2,1,2,10,1D,Independent,Female,Yes,0,34,Male,Asian,Full-Time
1,3,11,3,3,,,48,45,1,2,2,1,1,1,1,2,1,2,2,1,2,10,1R,Democrat,Male,No,1,34,Male,Asian,Full-Time
1,3,11,3,3,,,48,45,1,2,2,1,1,1,1,2,1,2,2,1,2,11,1R,Republican,Female,Yes,0,34,Male,Asian,Full-Time
1,3,11,3,3,,,48,45,1,2,2,1,1,1,1,2,1,2,2,1,2,11,2D,Independent,Male,No,1,34,Male,Asian,Full-Time
